"","Frac_urb","Surf_urb","Rurb"
"Atlanta",0.230649703549861,3096.9639,31.3973601840076
"Augusta-Richmond_County",0.050320018959315,674.9496,14.6575281120588
"Austin",0.0922509797855909,1219.5612,19.7027507411064
"Baton_Rouge",0.0692030400461179,915.7554,17.0731952822602
"Birmingham",0.0748681380002863,1004.3937,17.8803927342415
"Columbia,_South_Carolina",0.0686855430084313,923.0004,17.140599530693
"Columbus,_Ohio",0.10712204374257,1453.3227,21.5083003332509
"Des_Moines",0.0610520734386393,827.3637,16.2283099914809
"Fayetteville-Springdale",0.0356229666619951,481.5495,12.3807094520815
"Fort_Wayne",0.0663835586541763,900.099,16.9266183936468
"Grand_Rapids",0.0964368292177568,1304.01,20.3734944151102
"Huntsville",0.0575991052400097,775.7919,15.7143956737543
"Indianapolis",0.121698471046766,1651.1175,22.9252486028192
"Jackson,_Mississippi",0.0444529577151849,593.4879,13.7445649585739
"Kansas_City",0.138474872190406,1878.5583,24.4532958650284
"Lafayette",0.0644724006987966,852.1137,16.469250585945
"Lexington-Fayette",0.0491429655671208,666.1953,14.5621615881426
"Little_Rock",0.0668208931079396,900.0297,16.9259667779726
"Louisville",0.0685612778493062,929.619,17.2019451831556
"Madison",0.063821704798801,862.785,16.5720546448255
"Memphis",0.0821577522873046,1107.8424,18.7786364854741
"Minneapolis-St._Paul",0.170651335313956,2294.901,27.0275725161004
"Montgomery",0.0317818710100145,424.4553,11.6236103785832
"Nashville-Davidson",0.0959790166372409,1297.3698,20.3215558798112
"New_Orleans",0.0710762263335667,937.9962,17.2792784474013
"Oklahoma_City",0.0854203968704534,1152.8118,19.1559753823534
"Omaha",0.072816455023926,987.1587,17.726318665824
"Richmond",0.0618781722853607,838.3743,16.3359367044689
"San_Antonio",0.111734913402427,1470.0843,21.631975550411
"Shreveport",0.0587122556805176,784.4364,15.8017043765039
"Springfield,_Missouri",0.0516271778316422,699.1623,14.9181189208626
"St._Louis",0.163962149590076,2223.7965,26.6055710483897
"Syracuse",0.0472293009743381,638.5086,14.2563529625698
"Tulsa",0.0638145305620636,862.5411,16.5697121088401
"Wichita",0.0526209525977805,713.0781,15.0658490916096
"Dallas-Fort_Worth_Denton-Lewisville",0.29884145929782,3999.5577,35.6805094732755
"Houston_The_Woodlands",0.305945403855955,4037.7357,35.8504001526793
